"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SPDT_ON_OFF_Big";1;"ROMSEL";;;
2;"SW1";"SW_PUSH_6mm_H13mm";1;"BUTTONR";;;
3;"CN1";"ZX_EDGE_SOLDER";1;"ZX_CONNECTOR_SOLDER";;;
4;"CN2";"ZX_EDGE_BACK";1;"ZX_CONNECTOR_BACK";;;
5;"D3";"LED_D3.0mm";1;"PWR_LED";;;
6;"SW4";"SPDT_ON_OFF_Big";1;"Joy_ON_OFF";;;
7;"U1,U5";"PLCC-32_THT-Socket";2;"39SF040";;;
8;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"PIC16F1826";;;
9;"SW5";"SPDT_ON_OFF_Big";1;"PAUSE";;;
10;"U8";"Arduino_Nano";1;"Arduino_Nano";;;
11;"SW3";"SW_PUSH_6mm_H13mm";1;"BUTTONL";;;
12;"H1";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE1";;;
13;"H2";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE2";;;
14;"H3";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE3";;;
15;"H4";"MountingHole_2.7mm_M2.5_DIN965_Pad";1;"HOLE4";;;
16;"J1";"PinHeader_1x05_P2.54mm_Horizontal";1;"PIC_Prog";;;
17;"U9";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"mSD_Card";;;
18;"J2";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Joystick";;;
19;"C1,C2,C3,C6,C7,C8,C9,C10,C11,C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"100nF";;;
20;"R1,R2,R5,R8,R4,R7,R6,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10K";;;
21;"D1,D2";"D_SOD-123";2;"1N4148";;;
22;"U3,U4";"SOIC-14_3.9x8.7mm_P1.27mm";2;"74HCT32";;;
23;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
24;"U6";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXB0104DR";;;
25;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
26;"U7";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"74HCT240";;;
